,Zona,Finca,Peso,Diámetro Sutural,Diámetro Contrasutural
808,3.0,303,199,70.8,75.5
809,2.0,40901,170,68,70
810,3.0,1032,110,61,64
811,3.0,1032,110,64,63
812,3.0,303,201,71.4,73.6
813,3.0,1801,65,48,49
814,3.0,1201,160,67.8,69.7
815,3.0,1301,200,62,64
816,2.0,40901,100,57,59
817,2.0,40901,165,70,70
818,3.0,1301,190,70,63
819,2.0,40901,135,64,68
820,3.0,303,168,67.5,68.1
821,3.0,1901,95,57,58
822,3.0,801,115,61,63
823,3.0,801,120,62,66
824,2.0,40801,30,54,55
825,3.0,701,148,65.5,64.2
826,3.0,601,80,51.1,50.3
827,3.0,801,110,61,64
828,2.0,40901,165,68,70
829,3.0,1701,55,47.8,47
830,3.0,101,81,52.2,51.1
831,2.0,40901,120,59,62
832,2.0,40801,100,60,62
833,2.0,40901,120,59,62
834,2.0,40801,30,52,53
835,2.0,40801,20,50,50
836,2.0,40901,175,69,71
837,3.0,101,122,61.6,60.5
838,2.0,40801,30,56,56
839,2.0,40901,145,62,70
840,3.0,201,213,72.5,75.8
841,3.0,201,136,62.2,62.5
842,2.0,40901,135,63,65
843,2.0,40901,145,68,72
844,2.0,40901,180,69,72
845,2.0,40801,30,53,52
846,2.0,40901,170,66,72
847,3.0,1032,130,59,61
848,3.0,501,146,64.2,65.3
849,3.0,101,129,63.6,61.6
850,2.0,40901,220,75,76
851,3.0,701,142,63.1,62.3
852,3.0,901,130,62,64
853,2.0,40901,160,67,69
854,3.0,1701,70,51.7,50.1
855,3.0,801,115,62,60
856,2.0,40801,20,52,51
857,3.0,901,120,61,65
858,3.0,101,104,59.4,58.1
859,2.0,40901,125,60,63
860,3.0,1101,110,60.8,64.3
861,3.0,1701,60,49,47.4
862,2.0,40901,180,69,70
863,3.0,501,173,64.4,68.8
864,2.0,40901,110,60,63
865,3.0,1502,160,58,56
866,3.0,1401,150,63,60
867,2.0,40901,180,68,71
868,2.0,40901,185,68,73
869,3.0,601,81,52.2,50.3
870,3.0,1701,70,53,55
871,3.0,1301,200,65,66
872,2.0,40901,95,56,57
873,2.0,40901,205,72,74
874,3.0,101,121,59.9,59.9
875,2.0,40801,30,56,54
876,3.0,201,141,63.8,64.4
877,3.0,1401,160,62,62
878,2.0,40801,30,55,54
879,3.0,501,218,73.6,73.1
880,2.0,40801,100,58,58
881,3.0,601,101,57.4,58.1
882,3.0,701,126,59.9,60.8
883,2.0,40901,155,64,68
884,2.0,40901,150,66,68
885,2.0,40801,30,49,47
886,3.0,1801,120,59.5,62
887,3.0,303,187,68.8,72.2
888,3.0,601,109,56.4,58.1
889,3.0,1601,135,66,64.6
